,commit_befor ,commit_after,cal_smell,dispen_bf,object_bf,bloater_bf,dispen_at,object_at,bloater_af,open_time,closed_time,cal_time,changed_file,additions,deletions,dev,cal_time_binaly
0,9,6,-3,2,6,0,5,0,0,9,8,357 days 18:44:00,45,429,253,1,1
1,11,12,1,1,8,0,8,0,0,2,4,59 days 16:09:00,15,843,327,2,1
2,9,9,0,0,7,0,4,0,3,9,1,121 days 07:24:00,9,326,148,1,1
3,18,5,-13,3,4,0,1,0,0,3,3,7 days 23:17:00,5,127,79,2,0
4,4,7,3,0,2,0,3,3,0,7,7,3 days 09:01:00,9,955,36,2,0
5,12,2,-10,0,10,0,1,0,0,8,8,15 days 19:03:00,32,249,1180,2,0
6,3,18,15,0,0,0,0,0,0,4,4,18 days 09:42:00,8,905,37,2,1
7,7,4,-3,0,0,0,0,0,0,12,12,6 days 03:03:00,47,8283,8783,1,0
8,6,2,-4,0,0,0,0,0,0,2,2,6 days 12:37:00,34,2887,9,2,0
9,3,4,1,0,0,0,0,0,0,11,11,4 days 20:16:00,3,27,7,2,0
10,11,4,-7,3,6,0,0,0,0,6,6,4 days 06:50:00,7,408,273,1,0
11,12,2,-10,6,5,0,0,0,0,4,4,0 days 00:00:00,14,771,34,1,0
12,22,1,-21,14,4,0,0,0,0,11,11,0 days 00:00:00,257,26188,0,2,0
13,1,26,25,0,0,0,22,0,0,6,8,63 days 05:58:00,22,375,113,2,1
14,7,7,0,3,0,0,1,3,0,9,9,3 days 11:18:00,15,486,21,2,0
15,12,14,2,10,0,0,6,9,1,12,1,20 days 01:48:00,882,156857,0,2,1
16,29,21,-8,16,0,10,16,9,0,11,1,80 days 20:04:00,89,3248,298,1,1
17,1,2,1,0,0,0,1,1,0,8,8,0 days 02:47:00,9,129,71,1,0
18,2,11,9,1,0,0,9,9,0,11,11,3 days 00:23:00,3,317,207,1,0
19,44,32,-12,41,2,1,6,25,1,1,4,100 days 13:12:00,1388,221080,0,1,1
20,12,3,-9,10,0,0,0,0,0,9,10,12 days 01:20:00,60,3643,1652,2,0
21,2,12,10,0,0,0,4,7,0,11,12,30 days 00:18:00,15,1136,1874,2,1
22,6,10,4,2,0,0,6,7,1,3,11,249 days 04:28:00,12,689,6,1,1
23,10,6,-4,1,5,2,4,1,0,8,9,19 days 06:46:00,77,577,669,2,1
24,7,7,0,0,2,0,6,6,0,6,6,4 days 22:52:00,3,18,12,1,0
25,2,12,10,0,0,0,4,8,0,6,7,35 days 00:04:00,5,10,10,2,1
26,8,4,-4,4,1,0,2,1,0,9,10,23 days 18:33:00,55,2553,226,2,1
27,8,2,-6,7,0,0,0,0,0,7,8,33 days 01:38:00,13,90,5,2,1
28,12,1,-11,4,7,0,0,0,0,9,9,6 days 04:33:00,5,502,64,2,0
29,24,5,-19,4,5,14,0,0,0,11,12,48 days 03:07:00,13,314,201,1,1
